trial,output,is_mikan,timestamp
1,"「み」から始まる言葉ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです😅",True,2026-04-21T04:45:26.479206
2,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:45:29.022541
3,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:45:31.466449
4,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

も",True,2026-04-21T04:45:34.075787
5,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:45:37.635327
6,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:45:40.311754
7,"「み」から始まる言葉ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです😅",True,2026-04-21T04:45:42.998487
8,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:45:45.670013
9,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

気",True,2026-04-21T04:45:48.103830
10,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

では",True,2026-04-21T04:45:50.709589
11,"「うみ」の最後の文字は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負",True,2026-04-21T04:45:53.221234
12,"「うみ」の最後は「み」ですね！

**みかん**

あっ、「ん」で終わってしまいました！私の負けです😅

改",True,2026-04-21T04:45:59.320281
13,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:01.986167
14,"「うみ」の最後は「み」ですね！

**みかん**

あっ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:04.695036
15,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:07.233876
16,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:09.856364
17,"「み」から始まる言葉ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです😅",True,2026-04-21T04:46:12.495499
18,"「うみ」の最後は「み」ですね！

**みかん**

あ、しまった！「ん」で終わってしまいました！私の負けです",True,2026-04-21T04:46:14.999519
